"Řada","Označení","Vysvětlivka"
"DD","digitální data","tabulky, vektorové kresby aj."
"DL","digitální letecké snímky","digitální fotografie z leteckého průzkumu"
"DP","digitální předměty","digitální fotografie nálezů – předmětů"
"DT","digitální terén","digitální záběry z terénních výzkumů"
"DY","digitální plány","digitální plánová dokumentace a mapy"
"FD","foto diapozitivy","diapozitivy se záběry z výzkumů i snímky nálezů"
"FJ","foto jiné","osobní fotografie badatelů a událostí v životě instituce"
"FP","foto předměty","fotografie nálezů – předmětů"
"FT","foto terén","fotografická dokumentace terénních výzkumů "
"LD","letecké dia","diapozitivy z leteckého průzkumu"
"LN ","letecké negativy","negativy snímků z leteckého průzkumu"
"PY","plány","mapy a plány terénních situací"
"TX","zprávy a hlášení","textové dokumenty k terénním výzkumům a nálezům"
"ZA","archiv ZAA","automaticky generované PDF soubory evidující záznam akce po editaci"
"ZL","katalog lokalit","automaticky generované PDF soubory evidující záznam lokality po editaci"
