"Heslář","Obsah"
"Řada","Heslář určuje dvojpísmenný prefix identifikátoru dokumentů na základě jejich Typu a Materiálu. Jedná se o systémový heslář."
"Typ dokumentu","Heslář popisuje dokumenty na základě použité metody sběru dat a obsahu. Jedná se o systémový heslář."
"Materiál dokumentu","Definuje materiál originální verze dokumentu."
"Posudek","Obsahem hesláře jsou definice typů expertních posudků."
"Jazyk dokumentu","Umožňuje volbu jazyka u textových dokumentů."
"Formát dokumentu","Definuje formát fyzické verze dokumentu."
"Zachovalost","Určuje stupeň zachovalosti fyzického verze dokumentu."
"Náhrada","Hesla slouží k popisu existence a typu náhradní kopie fyzické verze dokumentu, která nemusí být k dispozici, nebo je poškozená (viz Zachovalost)."
"Uložení originálu","Heslář dává možnost určit existenci a umístění fyzického originálu dokumentu."
"Typ události","Postihuje údaje pro popis fotografií z konferencí, expedic a dalších aktivit nepřímo vázaných k archeologické evidenci."
"Země","Postihuje údaje pro popis fotografií z konferencí, expedic a dalších aktivit nepřímo vázaných k archeologické evidenci."
