"Třída","Součásti","Příklad"
"projekt","[region]-[rok][pětimístné číslo projektu]","C-201300001"
"projektová akce","[id_projekt][písmeno]","C-201300001A"
"samostatná akce","[region]-[číslice 9][šestimístné pořadové číslo][písmeno]","C-9000001A"
"lokalita (nemovitá)","[region]-[písmeno podle druhu lokality][sedmimístné pořadové číslo]","C-N1000001, C-L1000001"
"dokumentační jednotka","[id_akce/lokality]-[písmeno „D“][pořadové číslo ve formátu 01]","C-201300001A-D06"
"komponenta","[id_akce/lokality]-[písmeno „K“][pořadové číslo ve formátu 01]","C-201300001A-K87, C-N0000001-K01"
"nález","bez ID (neautoritní datová třída)","-"
"PIAN","[písmeno „P“]-[číslo mapového listu ZM50]-[pětimístné pořadové číslo PIAN]","P-1224-654123"
"dokument projektu","bez ID (neautoritní datová třída) - zachován původní název","-"
"dokument (text)","[region]-[řada]-[rok][pětimístné pořadové číslo dokumentu]","C-TX-201221458, C-TP-201354321"
"dokument (digitální terénní snímek z akce)","[řada]-[ID projektu nebo akce]-[pořadové číslo v libovolné délce]","DT-C-201300001-12345"
"dokument (ostatní, starý)","[region]-[řada]-[rok][pětimístné pořadové číslo dokumentu]","C-PY-001066355, C-FT-000012345, C-LN-000007815"
"automaticky archivovaná ZAA","[řada]-[ID projektu nebo akce]-[pořadové číslo ve formátu 01]","ZA-C-201300001A-01, ZA-C-9001001A-02"
"jednotky dokumentu","[ID dokumentu]-[písmeno „D“][pořadové číslo ve formátu 01]","DT-C-201300001A-12345-D01, C-TX-201221458-D01"
"komponenta dokumentu","[ID dokumentu]-[písmeno „K“][pořadové číslo ve formátu 01]","DT-C-201300001A-12345-K01, C-TX-201221458-K01"
"externí zdroj","[BIB]-[pořadové číslo v sedmimístném formátu]","BIB-0000001"
"let","region - LET - číslo","C-LET-00001"
"archeologické dokumentační body","ADB-[list mapy SM5]-[pořadové číslo ve formátu 0001]","ADB-PRAH01-1234"
"výškové body","[id_ADB]-[písmeno „V“][pořadové číslo ve formátu 0001]","ADB-PRAH01-1234-V0001"
